Epoch,Loss,Recall,NDCG,Training Time
0,146.28359825909138,,,17.675844430923462
1,97.45715640485287,,,17.44515371322632
2,77.8882165402174,,,17.782755136489868
3,75.44616501033306,,,17.50236439704895
4,72.11519165337086,0.13398334383964539,0.161735400557518,17.74359917640686
5,68.93119917809963,,,17.655016899108887
6,65.53147380053997,,,18.34283471107483
7,64.15039294958115,,,25.516204833984375
8,62.9673603028059,,,24.178075551986694
9,62.72757160663605,0.15231665968894958,0.17245905101299286,29.22940945625305
10,61.92376908659935,,,18.560710191726685
11,61.58400300145149,,,19.736205339431763
12,61.4936975389719,,,30.118825435638428
13,63.596393674612045,,,27.75465488433838
14,62.8465541601181,0.1419166773557663,0.16180123388767242,20.01327157020569
15,63.39358578622341,,,23.469688892364502
16,63.126573607325554,,,24.464342832565308
17,63.07592333853245,,,24.196892499923706
18,61.3218991458416,,,25.719571828842163
19,62.33809034526348,0.15466667711734772,0.17576193809509277,26.222584009170532
